Q1-Website;Q1-VR;Q1- TVR;Q2-Website;Q2-VR;Q2-TVr;Q3-Website;Q3-VR;Q3-TVR;Q4-Website;Q4-VR;Q4-TVR;Q5-Website;Q5-VR;Q5-TVR;Q6-Website;Q6-VR;Q6-TVR;Q7-Website;Q7-VR;Q7-TVR;Q8-Website;Q8-VR;Q8-TVR
1;2;2;5;5;4;5;4;1;4;5;3;2;2;4;5;4;4;4;5;4;1;4;2
5;4;2;5;4;3;2;3;4;4;2;2;4;5;4;5;3;4;5;4;4;4;3;4
2;1;1;4;4;4;1;4;4;3;1;1;2;5;3;4;4;5;4;4;5;4;2;1
2;1;1;4;5;2;4;4;4;1;1;3;3;5;2;3;2;2;2;2;3;4;4;2
2;4;1;2;4;4;4;4;5;3;2;1;4;4;5;2;5;5;3;4;5;4;4;1
1;5;2;2;5;2;4;4;4;5;5;3;4;5;5;5;5;2;2;5;4;2;5;3
1;2;4;4;5;5;4;5;4;1;2;4;5;4;2;4;4;4;4;4;4;2;5;4
2;4;2;3;4;2;4;2;3;4;1;1;3;4;4;4;4;2;3;3;2;2;2;4
4;4;1;5;5;2;5;5;2;5;2;1;5;4;2;5;5;3;4;5;4;4;1;4
1;1;4;2;5;4;3;5;4;2;3;1;4;5;5;3;5;5;3;5;5;3;1;4
2;4;4;4;5;5;5;5;1;1;4;2;5;5;4;3;5;5;4;5;2;5;5;1
4;3;2;2;4;3;5;5;4;5;2;1;4;3;4;2;4;4;3;4;2;4;3;2
1;4;1;4;4;4;5;4;4;3;1;1;5;4;4;2;4;4;2;5;4;1;4;4
